column_name,train_n_unique,train_null_percent,train_is_numeric,train_is_object,train_is_mixed_type,train_is_numeric_object,train_is_fully_null,train_is_constant,test_n_unique,test_null_percent,test_is_numeric,test_is_object,test_is_mixed_type,test_is_numeric_object,test_is_fully_null,test_is_constant,max_null_percent,null_gap_test_minus_train,present_in_train,present_in_test,train_dtype,test_dtype,dtype_mismatch
collection_recovery_fee,29219,0.0,True,False,False,False,False,False,2871,0.0,True,False,False,False,False,False,0.0,0.0,True,True,float64,float64,False
dti,3997,0.0,True,False,False,False,False,False,4086,0.0,True,False,False,False,False,False,0.0,0.0,True,True,float64,float64,False
funded_amnt,1354,0.0,True,False,False,False,False,False,1361,0.0,True,False,False,False,False,False,0.0,0.0,True,True,int64,int64,False
grade,7,0.0,False,True,False,False,False,False,7,0.0,False,True,False,False,False,False,0.0,0.0,True,True,str,str,False
home_ownership,6,0.0,False,True,False,False,False,False,4,0.0,False,True,False,False,False,False,0.0,0.0,True,True,str,str,False
id,466287,0.0,True,False,False,False,False,False,421095,0.0,True,False,False,False,False,False,0.0,0.0,True,True,int64,int64,False
initial_list_status,2,0.0,False,True,False,False,False,False,2,0.0,False,True,False,False,False,False,0.0,0.0,True,True,str,str,False
installment,55625,0.0,True,False,False,False,False,False,40470,0.0,True,False,False,False,False,False,0.0,0.0,True,True,float64,float64,False
int_rate,506,0.0,False,True,False,False,False,False,110,0.0,False,True,False,False,False,False,0.0,0.0,True,True,str,str,False
issue_d,91,0.0,False,True,False,False,False,False,12,0.0,False,True,False,False,False,False,0.0,0.0,True,True,str,str,False
last_pymnt_amnt,221444,0.0,True,False,False,False,False,False,89160,0.0,True,False,False,False,False,False,0.0,0.0,True,True,float64,float64,False
loan_amnt,1352,0.0,True,False,False,False,False,False,1361,0.0,True,False,False,False,False,False,0.0,0.0,True,True,int64,int64,False
loan_status,9,0.0,False,True,False,False,False,False,7,0.0,False,True,False,False,False,False,0.0,0.0,True,True,str,str,False
member_id,466287,0.0,True,False,False,False,False,False,421095,0.0,True,False,False,False,False,False,0.0,0.0,True,True,int64,int64,False
out_prncp,105829,0.0,True,False,False,False,False,False,126146,0.0,True,False,False,False,False,False,0.0,0.0,True,True,float64,float64,False
out_prncp_inv,110220,0.0,True,False,False,False,False,False,138484,0.0,True,False,False,False,False,False,0.0,0.0,True,True,float64,float64,False
purpose,14,0.0,False,True,False,False,False,False,14,0.0,False,True,False,False,False,False,0.0,0.0,True,True,str,str,False
pymnt_plan,2,0.0,False,True,False,False,False,False,2,0.0,False,True,False,False,False,False,0.0,0.0,True,True,str,str,False
recoveries,30999,0.0,True,False,False,False,False,False,2855,0.0,True,False,False,False,False,False,0.0,0.0,True,True,float64,float64,False
revol_bal,58142,0.0,True,False,False,False,False,False,62072,0.0,True,False,False,False,False,False,0.0,0.0,True,True,int64,int64,False
sub_grade,35,0.0,False,True,False,False,False,False,35,0.0,False,True,False,False,False,False,0.0,0.0,True,True,str,str,False
term,2,0.0,False,True,False,False,False,False,2,0.0,False,True,False,False,False,False,0.0,0.0,True,True,str,str,False
total_pymnt,383359,0.0,True,False,False,False,False,False,227239,0.0,True,False,False,False,False,False,0.0,0.0,True,True,float64,float64,False
total_pymnt_inv,351596,0.0,True,False,False,False,False,False,235422,0.0,True,False,False,False,False,False,0.0,0.0,True,True,float64,float64,False
total_rec_int,274467,0.0,True,False,False,False,False,False,177417,0.0,True,False,False,False,False,False,0.0,0.0,True,True,float64,float64,False
total_rec_late_fee,6889,0.0,True,False,False,False,False,False,1777,0.0,True,False,False,False,False,False,0.0,0.0,True,True,float64,float64,False
total_rec_prncp,153248,0.0,True,False,False,False,False,False,123943,0.0,True,False,False,False,False,False,0.0,0.0,True,True,float64,float64,False
url,466287,0.0,False,True,False,False,False,False,421095,0.0,False,True,False,False,False,False,0.0,0.0,True,True,str,str,False
verification_status,3,0.0,False,True,False,False,False,False,3,0.0,False,True,False,False,False,False,0.0,0.0,True,True,str,str,False
zip_code,888,0.0,False,True,False,False,False,False,914,0.0,False,True,False,False,False,False,0.0,0.0,True,True,str,str,False
